"filename", "language", "Swift", "C++", "JSON", "XML", "YAML", "Markdown", "Dart", "HTML", "Properties", "Gradle", "comment", "blank", "total"
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\forget_password.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\full_name_text_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\head_text.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\new_password_text_form.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\save_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_buttons.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_email_text_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_here.dart", "Dart", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_hint_text.dart", "Dart", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_password_text_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_text.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_text_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_with_facebook.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_with_google.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_confirm_password_text_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_email_text_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_here.dart", "Dart", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_password_text_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_with_facebook.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_with_google.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"g:\flutter_projects\e_learning\lib\features\intro\data\models\page_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"g:\flutter_projects\e_learning\lib\features\intro\ui\views\on_boarding_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 2, 8, 89
"g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\body_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\buttons_column.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 4, 52
"g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\page_view_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
